Date,Ad_name,Brand_Name,Languange,Funnel_Type,Convertions_Objective,Targeting_Type,Ads_Set,Format,Key_Message,Ads_Element,Age,Gender,Amount_spent,Purchase_ZLP,Purchase_ZLF,SignUp,Landing_page_views,Link_clicks,Impressions,Reach
4/20/2023,Zurich ZLF_id_tf_wc_sd_Sign Up_img_THR_image B_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up,img,THR,image B,35-44,female,36548,,,2,10,11,533,454
4/15/2023,Zurich ZLF_id_tf_wc_sd_Sign Up_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up,img,Ramadhan,image A,35-44,male,83974,,,2,19,20,1028,864
4/15/2023,Zurich ZLF_id_tf_wc_sd_Sign Up_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up,img,Ramadhan,image A,35-44,female,73815,,,2,11,12,1040,864
4/15/2023,Zurich ZLF_id_tf_wc_sd_Sign Up_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up,img,Ramadhan,image A,25-34,male,47453,,,1,8,9,814,694
4/16/2023,Zurich ZLF_id_tf_wc_sd_Sign Up_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up,img,Ramadhan,image A,35-44,male,81884,1,,2,22,22,984,914
4/17/2023,Zurich ZLF_id_tf_wc_sd_Sign Up_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up,img,Ramadhan,image A,35-44,male,66214,,,,14,14,1297,1232
4/18/2023,Zurich ZLF_id_tf_wc_sd_Sign Up_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up,img,Ramadhan,image A,35-44,female,46714,,,3,9,11,925,850
4/18/2023,Zurich ZLF_id_tf_wc_sd_Sign Up_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up,img,Ramadhan,image A,35-44,male,70420,,,1,28,30,1667,1556
4/19/2023,Zurich ZLF_id_tf_wc_sd_Sign Up_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up,img,Ramadhan,image A,35-44,male,76850,,,1,16,18,1621,1495
4/19/2023,Zurich ZLF_id_tf_wc_sd_Sign Up_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up,img,Ramadhan,image A,35-44,female,44342,,,,8,9,803,724
4/20/2023,Zurich ZLF_id_tf_wc_sd_Sign Up_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up,img,Ramadhan,image A,35-44,male,46996,,,1,11,12,1131,1080
4/21/2023,Zurich ZLF_id_tf_wc_sd_Sign Up_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up,img,Ramadhan,image A,35-44,male,42717.55714,,,,20,21,1506,1426
4/16/2023,Zurich ZLF_id_tf_wc_sd_Broad IG_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Broad IG,img,Ramadhan,image A,35-44,female,43374,,,,9,9,607,543
4/16/2023,Zurich ZLF_id_tf_wc_sd_Broad IG_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Broad IG,img,Ramadhan,image A,35-44,male,63390,,,3,18,21,998,921
4/17/2023,Zurich ZLF_id_tf_wc_sd_Broad IG_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Broad IG,img,Ramadhan,image A,35-44,male,64838,,,1,19,18,1768,1660
4/18/2023,Zurich ZLF_id_tf_wc_sd_Broad IG_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Broad IG,img,Ramadhan,image A,25-34,male,32693,,,1,8,10,1389,1280
4/19/2023,Zurich ZLF_id_tf_wc_sd_Broad IG_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Broad IG,img,Ramadhan,image A,35-44,male,67902,,,1,14,17,1730,1650
4/20/2023,Zurich ZLF_id_tf_wc_sd_Broad IG_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Broad IG,img,Ramadhan,image A,35-44,male,33922,,,2,10,11,1334,1287
4/15/2023,Zurich ZLF_id_mf_wc_sd_Healthcare_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,mf,wc,sd,Healthcare,img,Ramadhan,image A,35-44,male,41469,,,1,10,10,389,344
4/16/2023,Zurich ZLF_id_mf_wc_sd_Healthcare_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,mf,wc,sd,Healthcare,img,Ramadhan,image A,35-44,male,42614,,,,14,16,520,464
4/17/2023,Zurich ZLF_id_mf_wc_sd_Healthcare_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,mf,wc,sd,Healthcare,img,Ramadhan,image A,35-44,male,49533,,,1,14,17,898,823
4/18/2023,Zurich ZLF_id_mf_wc_sd_Healthcare_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,mf,wc,sd,Healthcare,img,Ramadhan,image A,35-44,male,45326,,,,11,9,1270,1184
4/19/2023,Zurich ZLF_id_mf_wc_sd_Healthcare_img_Ramadhan_image A_RevoU_14042023,Zurich ZLF,id,mf,wc,sd,Healthcare,img,Ramadhan,image A,35-44,male,39651,,,1,10,9,1072,1015
3/19/2023,Zurich ZLF_id_tf_wc_la_Sign Up_vid_Self Reward_Overthinking Woman_RevoU_10032023,Zurich ZLF,id,tf,wc,la,Sign Up,vid,Self Reward,Overthinking Woman,25-34,female,42776,,,1,9,10,1190,1157
3/28/2023,Zurich ZLF_id_tf_wc_la_Sign Up_vid_Self Reward_Overthinking Woman_RevoU_10032023,Zurich ZLF,id,tf,wc,la,Sign Up,vid,Self Reward,Overthinking Woman,25-34,female,53106,,,,8,13,1341,1288
3/30/2023,Zurich ZLF_id_tf_wc_la_Sign Up_vid_Self Reward_Overthinking Woman_RevoU_10032023,Zurich ZLF,id,tf,wc,la,Sign Up,vid,Self Reward,Overthinking Woman,25-34,female,66676,,,,7,10,1885,1824
3/31/2023,Zurich ZLF_id_tf_wc_la_Sign Up_vid_Self Reward_Overthinking Woman_RevoU_10032023,Zurich ZLF,id,tf,wc,la,Sign Up,vid,Self Reward,Overthinking Woman,25-34,female,66195,,,2,8,9,1520,1471
4/1/2023,Zurich ZLF_id_tf_wc_la_Sign Up_vid_Self Reward_Overthinking Woman_RevoU_10032023,Zurich ZLF,id,tf,wc,la,Sign Up,vid,Self Reward,Overthinking Woman,35-44,male,36962,,,,9,9,665,645
4/2/2023,Zurich ZLF_id_tf_wc_la_Sign Up_vid_Self Reward_Overthinking Woman_RevoU_10032023,Zurich ZLF,id,tf,wc,la,Sign Up,vid,Self Reward,Overthinking Woman,35-44,male,37770,,,1,7,9,849,822
4/28/2023,Zurich ZLF_id_tf_wc_la_Sign Up_vid_Self Reward_Overthinking Woman_RevoU_10032023,Zurich ZLF,id,tf,wc,la,Sign Up,vid,Self Reward,Overthinking Woman,25-34,female,42450,,,,6,9,1042,967
12/10/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,18-24,female,3290,,,,5,19,255,232
12/10/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,25-34,female,5633,,,,17,42,363,324
12/10/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,25-34,male,3327,,,,8,25,304,284
12/10/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,35-44,female,6772,,,,13,44,704,656
12/10/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,35-44,male,3074,,,,10,30,432,404
12/10/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,45-54,female,26924,,,,62,190,2484,2484
12/10/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,45-54,male,7834,,,,10,40,850,752
12/10/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,55-64,female,64425,,,,144,423,4357,3812
12/10/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,55-64,male,15329,,,,28,116,1266,1192
12/10/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,65+,female,24820,,,1,60,169,1409,1196
12/10/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,65+,male,8107,,,,16,61,626,596
12/11/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,18-24,female,7725,,,,30,61,486,332
12/11/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,18-24,male,2444,,,,7,16,325,300
12/11/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,25-34,female,21427,,,,74,160,1032,904
12/11/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,25-34,male,13212,,,,51,104,792,704
12/11/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,35-44,female,10050,,,,27,74,1086,980
12/11/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,35-44,male,7322,,,,21,52,1007,1000
12/11/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,45-54,female,25811,,,,68,186,2633,2468
12/11/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,45-54,male,7927,,,,25,58,1130,960
12/11/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,55-64,female,53137,,,,125,352,4023,3744
12/11/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,55-64,male,11522,,,,28,74,1256,1184
12/11/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,65+,female,20625,,,,44,132,1605,1368
12/11/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,65+,male,6411,,,,26,67,802,760
12/12/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,18-24,female,11063,,,,39,76,596,516
12/12/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,18-24,male,4075,,,,9,25,301,264
12/12/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,25-34,female,32053,,,,80,181,1338,1048
12/12/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,25-34,male,16415,,,,46,117,812,718
12/12/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,35-44,female,10556,,,1,31,70,783,696
12/12/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,35-44,male,9121,,,,23,71,695,648
12/12/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,45-54,female,15973,,,,35,97,1339,1292
12/12/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,45-54,male,4773,,,,16,45,498,434
12/12/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,55-64,female,29260,,,,73,178,1941,1872
12/12/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,55-64,male,5692,,,,11,30,556,506
12/12/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,65+,female,12205,,,,34,74,775,718
12/12/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,65+,male,4665,,,,7,33,421,380
12/13/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,18-24,female,11624,,,,23,89,576,472
12/13/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,18-24,male,3632,,,,11,30,235,224
12/13/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,25-34,female,32559,,,,88,209,1295,1088
12/13/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,25-34,male,18479,,,,47,138,835,732
12/13/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,35-44,female,9175,,,,25,72,492,436
12/13/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,35-44,male,9111,,,,26,73,508,476
12/13/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,45-54,female,11567,,,,27,76,683,678
12/13/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,45-54,male,4633,,,,13,41,327,327
12/13/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,55-64,female,28386,,,,76,169,1396,1256
12/13/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,55-64,male,6169,,,,13,29,410,374
12/13/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,65+,female,15955,,,,39,83,688,588
12/13/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,65+,male,4428,,,,10,33,318,308
12/14/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,18-24,female,7241,,,,21,67,433,408
12/14/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,18-24,male,3281,,,,13,31,238,214
12/14/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,25-34,female,17916,,,,41,114,815,744
12/14/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,25-34,male,11076,,,1,28,82,570,502
12/14/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,35-44,female,7525,,,,19,49,400,320
12/14/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,35-44,male,7003,,,,17,55,410,382
12/14/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,45-54,female,12382,,,,38,106,687,687
12/14/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,45-54,male,4502,,,,11,37,332,300
12/14/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,55-64,female,27855,,,,90,212,1238,1196
12/14/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,55-64,male,6928,,,,25,53,417,396
12/14/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,65+,female,13269,,,,28,72,591,582
12/14/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,65+,male,4665,,,,16,43,281,281
12/15/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,18-24,female,2098,,,,6,15,138,124
12/15/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,18-24,male,1224,,,,3,12,94,87
12/15/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,25-34,female,2118,,,,4,13,105,104
12/15/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,35-44,female,1844,,,,3,14,138,133
12/15/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,35-44,male,1663,,,,7,11,112,107
12/15/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,45-54,female,7691,,,,21,50,421,396
12/15/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,45-54,male,2089,,,,7,15,144,133
12/15/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,55-64,female,22517,,,1,84,184,970,892
12/15/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,55-64,male,4342,,,,12,33,239,223
12/15/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,65+,female,11967,,,,50,99,532,476
12/15/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,65+,male,3664,,,,15,37,201,174
12/16/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,18-24,female,3102,,,,12,22,208,202
12/16/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,18-24,male,1370,,,,6,12,107,98
12/16/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,25-34,female,3979,,,,12,28,232,224
12/16/2022,Zurich_id_tf_tc_bd_Broad_VID_Allyson ZLF ZLP_Allyson ZLF ZLP 120s_RevoU_08122022,Zurich,id,tf,tc,bd,Broad,VID,Allyson ZLF ZLP,Allyson ZLF ZLP 120s,25-34,male,2495,,,,11,26,169,162
